,Cluster,Biomarker,Relations
375,8,Amyloid,"[{'article': 'PMC10013957.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Cerebral amyloidosis'}, {'article': 'PMC10363100.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC10917684.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC10917684.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC10917684.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Glymphatic clearance in Alzheimer's Disease""}, {'article': 'PMC4132648.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis of Alzheimer's Disease""}, {'article': 'PMC4132648.txt', 'relationship': ""PREDICTS_CONVERSION_TO_ALZHEIMER'S_DISEASE"", 'object': ""Conversion from mild cognitive impairment to Alzheimer's Disease""}, {'article': 'PMC4866415.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC8502814.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8502814.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8502814.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8502814.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8507171.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis of Alzheimer's Disease""}, {'article': 'PMC8905724.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC8905724.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response: Decreased amyloid burden in tissue proximal to the implant'}, {'article': 'PMC8905724.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Reduction of amyloid burden in mild Alzheimer's Disease patients.""}, {'article': 'PMC8905724.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis of Alzheimer's Disease.""}, {'article': 'PMC5067903.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC5596480.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis of Alzheimer's Disease""}, {'article': 'PMC6679484.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6909550.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Early-onset Alzheimer's Disease""}, {'article': 'PMC6909550.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Clinical benefit in early symptomatic Alzheimer's Disease""}, {'article': 'PMC6909550.txt', 'relationship': 'RELATED_TREATMENT', 'object': 'Gantenerumab treatment'}, {'article': 'PMC6909550.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Clinical benefit in early symptomatic Alzheimer's Disease""}, {'article': 'PMC6966425.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7074941.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7074941.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7295920.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC7808620.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7808620.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC7808620.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7808620.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Aerobic exercise intervention'}, {'article': 'PMC7808620.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC9438329.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC9438329.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Diagnose: Mild cognitive impairment to major neurocognitive disorder'}, {'article': 'PMC9755275.txt', 'relationship': 'RELATED_TREATMENT', 'object': ""Alzheimer's Disease""}]"
376,8,Amyloid (Aβ oligomers),"[{'article': 'PMC7424995.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7424995.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7424995.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Alzheimer's Disease treatment""}]"
323,8,Aggregated Aβ,"[{'article': 'PMC4054967.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease progression""}]"
4296,8,mitochondrial Aβ1–40 levels,"[{'article': 'PMC4981900.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Alzheimer's Disease""}]"
4431,8,plasma amyloid-β (Aβ) peptides,"[{'article': 'PMC4461930.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Reduction in plasma Aβ peptides in response to semagacestat treatment'}]"
743,8,Beta-amyloid (Aβ),"[{'article': 'PMC5427593.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
782,8,Brain Amyloid Burden,"[{'article': 'PMC4351428.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Reflects response to cognitive training in Alzheimer's Disease""}]"
974,8,CSF amyloid and tau biomarkers,"[{'article': 'PMC6236893.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Distinguish AD from VaD with 80% specificity'}]"
1056,8,Cerebral amyloid angiopathy (CAA),"[{'article': 'PMC5144753.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis of Alzheimer's Disease""}]"
377,8,Amyloid (D54D2),"[{'article': 'PMC10917684.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Amyloid clearance in deep cervical lymph nodes'}]"
378,8,Amyloid Beta (Aβ),"[{'article': 'PMC11493878.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8570037.txt', 'relationship': 'IS_TARGET_OF_TREATMENT', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6748929.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
1206,8,Cortical Aβ,"[{'article': 'PMC7477392.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7477392.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7477392.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
1211,8,Cortical amyloid β (Aβ) deposition,"[{'article': 'PMC6615169.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
379,8,Amyloid Beta Peptides Burden,"[{'article': 'PMC6565843.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
3991,8,cerebral amyloid,"[{'article': 'PMC7808620.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC7808620.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Diagnose: Alzheimer's Disease""}]"
528,8,AΒ1-42,"[{'article': 'PMC4868930.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Early-onset Alzheimer's Disease""}, {'article': 'PMC4868930.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4868930.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4868930.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4868930.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Cortical dysfunction in Alzheimer's Disease""}]"
3963,8,brain amyloid plaque,"[{'article': 'PMC8157623.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
380,8,Amyloid Beta Peptides and Phosphorylated Tau,"[{'article': 'PMC9373273.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': ""Alzheimer's Disease Brain Pathologies""}]"
565,8,Aβ protein precursor (AβPP),"[{'article': 'PMC6679855.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Neurodegeneration in Alzheimer's Disease""}]"
591,8,Aβ1-42/1-40,"[{'article': 'PMC8416781.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis of Alzheimer's Disease""}, {'article': 'PMC8416781.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC8416781.txt', 'relationship': 'PREDICTS_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
614,8,Aβ40 peptide,"[{'article': 'PMC8043748.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]"
606,8,Aβ1–42/Aβ1–40,"[{'article': 'PMC7648990.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
590,8,Aβ1-42 expression,"[{'article': 'PMC4397698.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
593,8,Aβ1-42/Aβ1-40,"[{'article': 'PMC6764494.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6764494.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence of Amyloid'}]"
589,8,Aβ1-42,"[{'article': 'PMC2876785.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""No significant change during γ-secretase inhibitor treatment in Alzheimer's Disease""}, {'article': 'PMC2876785.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC3206445.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC3580400.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC3580400.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC3706879.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Rescue of cognitive deficits in Alzheimer's Disease mice""}, {'article': 'PMC3706879.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC3706879.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4233234.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4247762.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease""}, {'article': 'PMC4247762.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'p-Tau levels'}, {'article': 'PMC4247762.txt', 'relationship': 'RESPONDED_TO', 'object': 'Nilotinib treatment'}, {'article': 'PMC4247762.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Autophagic clearance'}, {'article': 'PMC4247762.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4247762.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of: Alzheimer's Disease""}, {'article': 'PMC4247762.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4247762.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Nilotinib treatment'}, {'article': 'PMC4247762.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4247762.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4247762.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Extracellular plaque deposition and dementia'}, {'article': 'PMC4247762.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4674770.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4674770.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4674770.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4674770.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4674770.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4674770.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4674770.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of Alzheimer's Disease""}, {'article': 'PMC4956742.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4956742.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response: Increased Soluble Aβ Levels'}, {'article': 'PMC4956742.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8157623.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8416781.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC8416781.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis of Alzheimer's Disease""}, {'article': 'PMC8416781.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8416781.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Early disease progression'}, {'article': 'PMC8416781.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'Brain amyloid pathology'}, {'article': 'PMC8480485.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Intermediate to high Thal amyloid phases in Alzheimer's Disease""}, {'article': 'PMC8480485.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC8480485.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Pathology-confirmed Alzheimer's Disease dementia""}, {'article': 'PMC8480485.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC8480485.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Early-onset Alzheimer's Disease""}, {'article': 'PMC8480485.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Lower levels associated with poor outcomes in Alzheimer's Disease""}, {'article': 'PMC8480485.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Response to treatment in Alzheimer's Disease""}, {'article': 'PMC8480485.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4267230.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Early-onset Alzheimer's Disease""}, {'article': 'PMC5565643.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': ""Early diagnosis of Alzheimer's Disease""}, {'article': 'PMC5565643.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Amyloid-β (Aβ) deposition'}, {'article': 'PMC5565643.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease in its prodromal stage""}, {'article': 'PMC5565643.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC5565643.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease""}, {'article': 'PMC5565643.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC5565643.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Indicates presence of: Pre-clinical Alzheimer's Disease""}, {'article': 'PMC5565643.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': ""Diagnostic of: Alzheimer's Disease""}, {'article': 'PMC5565643.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Early-onset Alzheimer's Disease""}, {'article': 'PMC5565643.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Diagnose: Differential diagnosis between AD and non-AD dementia'}, {'article': 'PMC5565643.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Diagnose: Prodromal AD in case of mild cognitive impairment'}, {'article': 'PMC5565643.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': 'Select subjects for clinical trials with potentially disease-modifying drugs against AD'}, {'article': 'PMC5565643.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Identify asymptomatic subjects at risk to develop symptoms of AD'}, {'article': 'PMC6357742.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6764494.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6764494.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6764494.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence of Amyloid'}, {'article': 'PMC6764494.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6764494.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6764494.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence: Amyloid deposition'}, {'article': 'PMC6764494.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6764494.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC7223540.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC9527145.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC9527145.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Neuroinflammation and neurodegeneration in AD'}]"
588,8,Aβ1-40,"[{'article': 'PMC2876785.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""No significant change during γ-secretase inhibitor treatment in Alzheimer's Disease""}, {'article': 'PMC2876785.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC3580400.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC3580400.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC3706879.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Rescue of cognitive deficits in Alzheimer's Disease mice""}, {'article': 'PMC3706879.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC3706879.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4233234.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4233234.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'LY2811376 treatment'}, {'article': 'PMC4694064.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4956742.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4956742.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response: Increased Soluble Aβ Levels'}, {'article': 'PMC4956742.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8157623.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8280160.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8280160.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8416781.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4267230.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Early-onset Alzheimer's Disease""}, {'article': 'PMC5565643.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Early-onset Alzheimer's Disease""}, {'article': 'PMC6764494.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6764494.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6764494.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC9527145.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
594,8,Aβ1-42/Aβ1-40 ratio,"[{'article': 'PMC6764494.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6764494.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6764494.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence: Amyloid deposition'}, {'article': 'PMC6764494.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence of amyloid'}]"
587,8,Aβ1-38,"[{'article': 'PMC5565643.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Diagnose: Differentiate AD from FTD or DLB'}]"
586,8,Aβ1-37,"[{'article': 'PMC5565643.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Diagnose: Differentiate AD from FTD or DLB'}]"
585,8,Aβ1-34,"[{'article': 'PMC2876785.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response to γ-secretase inhibitor treatment'}, {'article': 'PMC2876785.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': 'Effect of γ-secretase inhibitor LY450139'}, {'article': 'PMC2876785.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Effect of γ-secretase inhibitor treatment in AD patients'}, {'article': 'PMC4233234.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response to BACbche gene gene inhibitor treatment'}, {'article': 'PMC4233234.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Target engagement of BACbche gene gene inhibitors'}, {'article': 'PMC4233234.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': 'Response to BACE inhibitor treatment'}, {'article': 'PMC4233234.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'BACE inhibitor treatment'}, {'article': 'PMC4233234.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': 'BACE inhibition in clinical trials'}, {'article': 'PMC4233234.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'BACE inhibition in humans'}]"
596,8,Aβ1-43,"[{'article': 'PMC8416781.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Early disease progression'}, {'article': 'PMC8416781.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Greater propensity to aggregate and more neurotoxic'}, {'article': 'PMC8416781.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Early-onset Alzheimer's Disease""}, {'article': 'PMC8416781.txt', 'relationship': 'DIFFERENTIATE', 'object': 'Amnestic mild cognitive impairment patients who progress to AD'}]"
584,8,Aβ1-16,"[{'article': 'PMC2876785.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Response to γ-secretase inhibitor treatment in Alzheimer's Disease""}, {'article': 'PMC2876785.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC2876785.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response to γ-secretase inhibitor treatment'}, {'article': 'PMC2876785.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': 'Effect of γ-secretase inhibitor LY450139'}, {'article': 'PMC2876785.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Effect of γ-secretase inhibitor treatment in AD patients'}, {'article': 'PMC2876785.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Detect biochemical effects of γ-secretase inhibitor treatment in AD patients'}, {'article': 'PMC4780148.txt', 'relationship': 'RESPONDED_TO', 'object': 'Chronic semagacestat treatment'}]"
597,8,Aβ1-x,"[{'article': 'PMC4267230.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Early-onset Alzheimer's Disease""}]"
